tweets,type,class
ماهي آرائكم متتبعي الكرام,neutral,standard
عبقرية المدرب وروعة اللاعبين,positive,standard
أمة عربية واحدة خالدة ,positive,standard
عاد إليكم من جديد وأخيرا درت جيم لهاد الصفحة,neutral,dialectal
الله يخلف عليك سيدي محمد,positive,dialectal
أشارك في تمام الساعة في نشرة أخبار الجزيرة لمناقشة التوتر السعودي المغربي وسحب الرباط سفيرها من الرياض,neutral,standard
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,negative,dialectal
أمين عام حزب سياسي كينشر تدوينة وكيدير ليها جيم,neutral,dialectal
أجي بعدا فين غبرات واحد الحمى القلاعية شفت ما بقات هضرة عليها,neutral,dialectal
إغلاق ثلاث بيوت لأعضاء الجماعة في القنيطرة والدار البيضاء وأكادير,neutral,standard
الشعب الياباني الشقيق بعد الإسلام,neutral,standard
أنفلوانزا الخنازير مسؤول عليها وزير الصحة والحكومة والدولة ياك والحمى القلاعية واش نقدرو نقولو أن هو اللي مسؤول عليها,neutral,dialectal
الدولة تعلن أن الوضع تحت السيطرة,neutral,standard
أنفلوانزا الخنازير تهدد الإنسان والحمى القلاعية تهدد رؤوس الماشية بدكالة والشاوية الله يرحمنا ويعطينا دولة تخاف علينا,mixed,dialectal
واحد السؤال وما تديروهاش مني قلة الصواب واش بنكيران هو اللي زاد في ضريبة السيارات,neutral,dialectal
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,positive,dialectal
الجالية الإماراتية المقيمة في المغرب قلوبنا معكم و لن نترككم ويمكنكم في الهزائم أن تراهنوا علينا وكفى,positive,standard
متى تعلن الدولة انتصارها على المجتمع من خلال حربها المفتوحة على أبنائه والذين من بينهم اعتقلته غربته بعيدا عن أهله جردته من ثيابه بطريقة مهينة أدانته ب سجنا نافذة واليوم تخفي عنه جلطة دماغية تهدده بالشلل,negative,standard
الدولة اللي تعاقدات مع رحال باش توكل السجناء واش ما تقدرش تتعاقد مع الشيخ زايد باش تداويهم ,neutral,dialectal
أنفلوانزا الخنازير تقتل سيدة حاملا في المغرب وزارة الصحة قالت قبل الوفاة إن الوضعية الوبائية للإنفلونزا لا تدعو إلى القلق,neutral,standard
من يكون هذا السمسار الذي أقنع أفضل لاعبي منتخب المغرب بالهرب من دوريات أوروبا للعب في دوريات الخليج,neutral,standard
الله على أخلاقك يا فخر العرب,positive,standard
انقلاب فاشل في فينزويلا رئيس البرلمان ينصب نفسه رئيسا الجيش يرفض الانقلاب أمريكا وكولومبيا والبرازيل تعترف بالمنقلب رئيسا والاتحاد الأوروبي يدعو للتهدئة ولانتخابات حرة هذا الغرب الامبريالي وضيع جدا,negative,standard
الوجداني طفلة اختفت ازيد من أسبوعين ثم عثر عليها جثة هامدة بغابة قرب بيتها رحم الله الملاك إخلاص,mixed,standard
بنكيران كان من دعاة الملكية البرلمانية بعد ان منحه الملك تقاعدا استثنائيا أصبح من دعاة الملكية التنفيذية ,neutral,standard
